vehicle_count,pedestrian_count,ambulance_present,light_state
35,1,0,GREEN
1,12,1,GREEN
13,15,1,GREEN
12,1,0,GREEN
28,10,0,GREEN
11,9,1,GREEN
38,14,0,YELLOW
1,16,1,GREEN
31,7,1,GREEN
12,17,1,GREEN
45,8,0,YELLOW
26,7,0,GREEN
48,13,1,GREEN
40,17,0,YELLOW
16,19,0,RED
39,19,0,YELLOW
30,11,0,RED
33,18,0,YELLOW
23,13,0,RED
44,16,0,YELLOW
34,2,1,GREEN
47,6,0,YELLOW
5,16,0,RED
18,11,0,RED
29,8,0,GREEN
6,14,0,RED
9,17,0,RED
40,12,0,YELLOW
31,7,0,YELLOW
33,13,1,GREEN
27,7,0,GREEN
14,13,0,RED
29,6,0,GREEN
36,11,0,YELLOW
28,10,1,GREEN
21,10,1,GREEN
3,12,1,GREEN
19,17,1,GREEN
31,1,1,GREEN
35,14,1,GREEN
49,19,1,GREEN
3,17,1,GREEN
26,14,1,GREEN
16,18,1,GREEN
11,11,1,GREEN
21,12,1,GREEN
16,10,1,GREEN
9,4,1,GREEN
0,0,1,GREEN
21,2,1,GREEN
25,18,0,RED
17,6,1,GREEN
49,11,0,YELLOW
13,14,1,GREEN
46,4,1,GREEN
28,14,0,RED
11,7,1,GREEN
35,9,0,YELLOW
34,15,0,YELLOW
11,7,0,GREEN
6,0,1,GREEN
28,11,1,GREEN
10,4,1,GREEN
32,2,0,GREEN
5,0,0,GREEN
46,3,1,GREEN
14,7,1,GREEN
31,2,1,GREEN
10,9,1,GREEN
22,1,1,GREEN
25,10,0,GREEN
33,9,0,YELLOW
45,13,0,YELLOW
33,6,1,GREEN
28,1,0,GREEN
3,8,0,GREEN
16,15,0,RED
34,12,0,YELLOW
12,8,0,GREEN
40,19,1,GREEN
38,3,0,GREEN
14,9,1,GREEN
28,11,1,GREEN
28,16,1,GREEN
10,13,1,GREEN
31,13,1,GREEN
1,1,0,GREEN
46,19,0,YELLOW
13,10,1,GREEN
19,15,1,GREEN
21,18,1,GREEN
10,5,0,GREEN
26,18,1,GREEN
2,4,0,GREEN
16,3,1,GREEN
43,14,0,YELLOW
27,3,1,GREEN
28,19,0,RED
20,9,1,GREEN
46,2,0,GREEN
15,4,0,GREEN
36,5,0,YELLOW
19,7,0,GREEN
5,6,0,GREEN
18,9,0,GREEN
4,5,0,GREEN
2,13,1,GREEN
0,3,1,GREEN
37,12,1,GREEN
14,19,1,GREEN
33,16,1,GREEN
34,6,0,YELLOW
48,3,0,GREEN
24,13,0,RED
23,2,0,GREEN
11,4,0,GREEN
17,15,1,GREEN
14,19,1,GREEN
43,3,1,GREEN
15,1,1,GREEN
26,17,0,RED
7,18,0,RED
45,18,0,YELLOW
24,16,1,GREEN
16,13,0,RED
28,18,1,GREEN
7,12,0,RED
14,11,0,RED
26,5,1,GREEN
45,3,0,GREEN
49,18,0,YELLOW
6,15,1,GREEN
2,12,0,RED
28,3,1,GREEN
43,16,0,YELLOW
23,0,0,GREEN
2,17,0,RED
19,19,0,RED
45,16,0,YELLOW
14,14,0,RED
24,10,0,GREEN
29,12,0,RED
13,0,1,GREEN
6,16,1,GREEN
16,5,0,GREEN
43,3,0,GREEN
19,19,1,GREEN
35,15,0,YELLOW
8,14,0,RED
37,14,1,GREEN
47,5,0,YELLOW
21,14,0,RED
1,13,1,GREEN
23,10,0,GREEN
7,6,0,GREEN
10,8,1,GREEN
12,15,0,RED
16,4,1,GREEN
7,19,0,RED
20,9,0,GREEN
17,17,1,GREEN
29,2,1,GREEN
17,12,0,RED
45,10,1,GREEN
46,16,1,GREEN
30,12,0,RED
37,5,0,YELLOW
31,16,0,YELLOW
10,12,1,GREEN
44,18,1,GREEN
24,18,1,GREEN
32,9,1,GREEN
37,2,0,GREEN
40,13,1,GREEN
7,18,0,RED
10,4,1,GREEN
21,4,0,GREEN
23,19,0,RED
40,16,0,YELLOW
16,9,1,GREEN
11,4,0,GREEN
45,3,0,GREEN
31,5,1,GREEN
14,3,0,GREEN
15,6,1,GREEN
21,6,1,GREEN
27,17,0,RED
19,2,0,GREEN
32,0,1,GREEN
9,3,0,GREEN
39,5,1,GREEN
31,8,1,GREEN
49,13,1,GREEN
32,11,0,YELLOW
1,19,1,GREEN
32,3,0,GREEN
32,11,0,YELLOW
40,9,0,YELLOW
12,6,0,GREEN
29,2,1,GREEN
32,13,0,YELLOW
12,9,1,GREEN
25,15,1,GREEN
21,15,0,RED
38,9,1,GREEN
1,12,1,GREEN
37,5,0,YELLOW
38,11,1,GREEN
25,8,1,GREEN
45,12,1,GREEN
49,3,1,GREEN
14,10,0,GREEN
33,19,1,GREEN
41,17,1,GREEN
43,10,1,GREEN
48,3,1,GREEN
39,17,0,YELLOW
10,0,1,GREEN
2,6,0,GREEN
5,5,1,GREEN
8,14,0,RED
5,17,0,RED
8,10,0,GREEN
38,19,0,YELLOW
30,14,0,RED
31,15,1,GREEN
40,6,1,GREEN
49,9,1,GREEN
11,11,0,RED
7,13,1,GREEN
7,4,0,GREEN
49,17,0,YELLOW
27,4,1,GREEN
19,2,1,GREEN
46,4,0,GREEN
6,16,0,RED
10,18,1,GREEN
19,18,1,GREEN
15,11,1,GREEN
3,8,1,GREEN
5,0,0,GREEN
21,17,1,GREEN
25,3,1,GREEN
2,9,1,GREEN
40,6,0,YELLOW
41,0,0,GREEN
13,16,0,RED
10,1,0,GREEN
17,10,1,GREEN
11,8,0,GREEN
22,6,1,GREEN
11,16,1,GREEN
12,16,1,GREEN
24,1,1,GREEN
44,5,0,YELLOW
18,13,0,RED
45,5,0,YELLOW
35,1,1,GREEN
44,0,1,GREEN
7,9,1,GREEN
28,4,1,GREEN
31,1,1,GREEN
43,15,0,YELLOW
17,1,1,GREEN
5,9,0,GREEN
17,1,1,GREEN
18,15,1,GREEN
21,15,0,RED
36,18,0,YELLOW
31,6,1,GREEN
40,11,1,GREEN
2,14,1,GREEN
27,7,1,GREEN
9,5,0,GREEN
34,9,1,GREEN
28,2,0,GREEN
14,18,1,GREEN
32,16,0,YELLOW
6,6,0,GREEN
11,19,1,GREEN
48,3,0,GREEN
29,13,1,GREEN
20,19,0,RED
30,14,1,GREEN
23,7,0,GREEN
19,14,1,GREEN
36,19,1,GREEN
3,13,0,RED
27,8,0,GREEN
43,7,0,YELLOW
19,16,0,RED
23,1,1,GREEN
49,2,0,GREEN
48,7,1,GREEN
31,11,0,YELLOW
40,0,1,GREEN
35,9,1,GREEN
33,19,1,GREEN
35,2,1,GREEN
1,5,0,GREEN
14,6,0,GREEN
33,19,1,GREEN
35,17,0,YELLOW
5,10,0,GREEN
38,18,1,GREEN
41,4,0,GREEN
11,18,0,RED
2,10,0,GREEN
44,11,1,GREEN
17,9,0,GREEN
39,7,1,GREEN
20,8,0,GREEN
14,3,0,GREEN
32,4,0,GREEN
34,7,1,GREEN
25,8,1,GREEN
7,14,0,RED
35,14,1,GREEN
47,15,0,YELLOW
29,13,1,GREEN
22,7,1,GREEN
41,17,0,YELLOW
43,9,0,YELLOW
13,19,0,RED
13,5,0,GREEN
1,11,1,GREEN
36,1,1,GREEN
4,6,1,GREEN
37,15,0,YELLOW
44,2,0,GREEN
40,12,1,GREEN
46,2,0,GREEN
13,17,1,GREEN
38,10,1,GREEN
24,7,1,GREEN
19,5,1,GREEN
1,0,1,GREEN
38,0,0,GREEN
5,7,0,GREEN
16,4,0,GREEN
24,15,1,GREEN
27,10,1,GREEN
1,4,1,GREEN
34,3,1,GREEN
36,5,0,YELLOW
4,13,0,RED
0,18,1,GREEN
39,8,1,GREEN
11,11,1,GREEN
35,10,0,YELLOW
44,13,0,YELLOW
22,15,0,RED
46,0,1,GREEN
30,12,1,GREEN
10,12,0,RED
9,1,1,GREEN
2,3,0,GREEN
13,5,1,GREEN
15,4,0,GREEN
9,2,1,GREEN
28,0,0,GREEN
9,3,0,GREEN
11,19,0,RED
29,1,0,GREEN
40,4,0,GREEN
0,2,0,GREEN
4,8,1,GREEN
19,19,1,GREEN
7,5,1,GREEN
42,17,0,YELLOW
11,5,0,GREEN
0,18,1,GREEN
19,11,0,RED
27,10,0,GREEN
42,1,0,GREEN
36,14,0,YELLOW
46,11,0,YELLOW
36,11,1,GREEN
11,8,1,GREEN
36,1,1,GREEN
48,2,1,GREEN
48,11,1,GREEN
43,15,0,YELLOW
27,0,0,GREEN
46,2,0,GREEN
14,19,0,RED
5,1,1,GREEN
43,8,1,GREEN
19,18,1,GREEN
49,14,0,YELLOW
13,17,1,GREEN
1,10,0,GREEN
8,15,1,GREEN
36,16,1,GREEN
19,4,0,GREEN
25,11,0,RED
28,10,1,GREEN
0,14,1,GREEN
34,2,0,GREEN
5,0,1,GREEN
36,19,1,GREEN
4,15,0,RED
32,1,1,GREEN
48,1,0,GREEN
13,2,1,GREEN
11,7,0,GREEN
41,14,1,GREEN
19,6,0,GREEN
49,5,1,GREEN
23,8,0,GREEN
42,19,1,GREEN
33,0,1,GREEN
24,7,1,GREEN
49,2,1,GREEN
28,3,1,GREEN
38,14,1,GREEN
30,5,1,GREEN
46,14,1,GREEN
42,2,1,GREEN
49,13,0,YELLOW
22,19,0,RED
43,13,1,GREEN
37,3,0,GREEN
19,11,1,GREEN
22,16,1,GREEN
44,6,0,YELLOW
15,8,1,GREEN
49,2,1,GREEN
41,12,0,YELLOW
7,14,0,RED
49,17,1,GREEN
20,18,0,RED
0,0,0,GREEN
7,5,1,GREEN
28,1,0,GREEN
31,13,0,YELLOW
37,5,1,GREEN
4,13,0,RED
46,3,0,GREEN
21,7,1,GREEN
46,2,1,GREEN
33,18,1,GREEN
0,13,0,RED
25,19,1,GREEN
42,16,1,GREEN
9,7,0,GREEN
29,13,1,GREEN
49,5,1,GREEN
17,15,1,GREEN
16,18,1,GREEN
25,13,0,RED
7,18,1,GREEN
46,2,1,GREEN
39,9,0,YELLOW
48,18,1,GREEN
11,8,0,GREEN
26,19,0,RED
7,12,0,RED
24,6,1,GREEN
45,13,0,YELLOW
3,8,0,GREEN
32,18,0,YELLOW
0,14,1,GREEN
18,19,1,GREEN
30,13,1,GREEN
15,5,1,GREEN
13,3,1,GREEN
47,7,1,GREEN
4,16,1,GREEN
40,8,0,YELLOW
25,0,0,GREEN
27,19,0,RED
1,13,0,RED
49,10,1,GREEN
5,2,0,GREEN
8,8,0,GREEN
32,13,0,YELLOW
40,8,0,YELLOW
24,3,1,GREEN
47,3,1,GREEN
12,7,1,GREEN
8,1,0,GREEN
12,8,1,GREEN
30,13,0,RED
40,8,1,GREEN
10,15,1,GREEN
3,16,1,GREEN
33,15,1,GREEN
37,11,1,GREEN
45,2,0,GREEN
3,10,1,GREEN
37,13,0,YELLOW
18,17,0,RED
5,4,0,GREEN
33,15,0,YELLOW
17,19,0,RED
12,4,1,GREEN
40,2,1,GREEN
22,11,1,GREEN
18,0,1,GREEN
44,8,0,YELLOW
10,8,1,GREEN
0,3,1,GREEN
23,2,0,GREEN
6,16,0,RED
24,1,1,GREEN
20,0,1,GREEN
14,7,0,GREEN
0,12,1,GREEN
11,14,1,GREEN
6,7,1,GREEN
14,11,1,GREEN
20,11,0,RED
18,13,0,RED
28,14,0,RED
24,14,1,GREEN
32,8,1,GREEN
48,18,1,GREEN
31,19,1,GREEN
48,7,1,GREEN
34,18,0,YELLOW
43,5,1,GREEN
37,19,1,GREEN
25,18,0,RED
10,3,1,GREEN
34,6,0,YELLOW
7,3,0,GREEN
45,11,0,YELLOW
13,12,0,RED
9,2,0,GREEN
1,11,1,GREEN
45,1,0,GREEN
8,1,0,GREEN
2,8,1,GREEN
20,0,1,GREEN
25,7,0,GREEN
7,5,1,GREEN
47,5,1,GREEN
1,17,0,RED
5,16,0,RED
27,11,1,GREEN
28,5,0,GREEN
25,7,0,GREEN
24,18,1,GREEN
11,9,0,GREEN
4,0,0,GREEN
33,12,0,YELLOW
47,16,0,YELLOW
36,2,0,GREEN
14,7,1,GREEN
43,13,1,GREEN
35,2,0,GREEN
14,15,1,GREEN
42,12,0,YELLOW
47,19,0,YELLOW
22,16,0,RED
5,12,0,RED
45,5,0,YELLOW
49,16,1,GREEN
43,13,1,GREEN
42,16,0,YELLOW
44,7,1,GREEN
20,10,0,GREEN
22,19,1,GREEN
42,0,0,GREEN
15,6,1,GREEN
46,16,0,YELLOW
14,9,0,GREEN
24,10,1,GREEN
35,8,1,GREEN
10,8,0,GREEN
14,4,1,GREEN
3,16,0,RED
20,8,1,GREEN
12,16,1,GREEN
21,18,0,RED
18,6,1,GREEN
33,8,1,GREEN
13,6,0,GREEN
3,12,1,GREEN
47,10,0,YELLOW
45,13,0,YELLOW
26,18,0,RED
28,10,0,GREEN
46,12,0,YELLOW
27,13,1,GREEN
34,12,0,YELLOW
7,0,0,GREEN
15,7,1,GREEN
41,11,1,GREEN
35,18,1,GREEN
29,11,0,RED
17,7,0,GREEN
1,7,0,GREEN
48,12,1,GREEN
12,11,0,RED
3,15,1,GREEN
25,0,0,GREEN
24,12,1,GREEN
29,6,0,GREEN
10,4,0,GREEN
6,7,0,GREEN
30,13,1,GREEN
43,12,1,GREEN
9,14,0,RED
38,16,0,YELLOW
12,14,0,RED
30,19,1,GREEN
6,17,0,RED
48,17,0,YELLOW
41,1,0,GREEN
41,3,0,GREEN
35,0,1,GREEN
19,3,1,GREEN
3,17,0,RED
6,4,0,GREEN
0,18,1,GREEN
43,14,1,GREEN
44,7,0,YELLOW
41,19,1,GREEN
46,16,1,GREEN
12,0,0,GREEN
21,11,1,GREEN
20,18,1,GREEN
21,14,0,RED
27,8,0,GREEN
8,6,1,GREEN
25,1,0,GREEN
8,8,1,GREEN
14,9,0,GREEN
9,1,1,GREEN
23,18,0,RED
41,10,1,GREEN
7,12,1,GREEN
23,9,1,GREEN
15,13,0,RED
48,17,0,YELLOW
25,18,1,GREEN
26,8,1,GREEN
36,6,0,YELLOW
3,2,0,GREEN
49,19,0,YELLOW
23,5,0,GREEN
18,1,0,GREEN
35,5,0,YELLOW
38,2,1,GREEN
9,15,0,RED
24,7,1,GREEN
17,1,0,GREEN
18,16,0,RED
35,8,1,GREEN
9,11,1,GREEN
32,2,0,GREEN
49,10,1,GREEN
4,0,1,GREEN
46,12,1,GREEN
48,14,1,GREEN
34,4,0,GREEN
43,16,1,GREEN
33,5,0,YELLOW
32,10,0,YELLOW
20,17,0,RED
16,3,0,GREEN
21,2,1,GREEN
47,12,1,GREEN
36,8,0,YELLOW
14,5,0,GREEN
34,11,0,YELLOW
27,1,0,GREEN
6,2,1,GREEN
31,2,0,GREEN
10,11,1,GREEN
9,14,0,RED
8,8,0,GREEN
13,7,0,GREEN
12,10,0,GREEN
24,15,1,GREEN
1,3,1,GREEN
34,0,1,GREEN
6,6,0,GREEN
20,1,0,GREEN
17,4,1,GREEN
2,6,1,GREEN
41,3,0,GREEN
38,4,0,GREEN
40,0,1,GREEN
48,0,0,GREEN
10,14,0,RED
38,19,1,GREEN
23,18,0,RED
45,9,1,GREEN
18,17,0,RED
3,2,1,GREEN
25,10,0,GREEN
37,14,1,GREEN
41,10,1,GREEN
31,16,1,GREEN
38,16,1,GREEN
44,5,0,YELLOW
45,4,0,GREEN
35,7,1,GREEN
39,1,0,GREEN
36,15,0,YELLOW
32,19,0,YELLOW
35,11,0,YELLOW
2,5,0,GREEN
8,0,1,GREEN
7,3,1,GREEN
32,16,1,GREEN
5,12,1,GREEN
40,17,0,YELLOW
38,4,0,GREEN
3,2,1,GREEN
12,10,0,GREEN
48,12,0,YELLOW
1,3,1,GREEN
4,13,0,RED
43,10,1,GREEN
26,9,1,GREEN
31,18,0,YELLOW
20,17,0,RED
7,5,1,GREEN
37,14,1,GREEN
7,9,0,GREEN
49,4,1,GREEN
2,4,1,GREEN
43,9,1,GREEN
2,4,0,GREEN
21,2,1,GREEN
5,5,0,GREEN
1,3,1,GREEN
22,17,0,RED
43,8,1,GREEN
